I,X,Y,Z,R,C,CR,CG,CB
0,-1.675192,2.910963,-0.411342,1.02,1,0.014,0.014,0.014
1,0.001641,-0.000012,0.696378,1.26,0,0.144,0.082,0.047
2,3.360496,-0.007296,-0.412990,1.02,1,0.014,0.014,0.014
3,-1.687854,-2.903648,-0.411358,1.02,1,0.014,0.014,0.014
4,0.006710,-0.000051,3.510092,0.66,1,0.67,0.67,0.67
5,-0.746259,4.613989,0.276281,0.66,0,0.67,0.67,0.67
6,-1.701121,2.993108,-2.469168,0.66,0,0.67,0.67,0.67
7,-3.625245,2.943379,0.246013,0.66,0,0.67,0.67,0.67
8,4.370242,1.654831,0.259571,0.66,2,0.67,0.67,0.67
9,4.363026,-1.673786,0.259570,0.66,2,0.67,0.67,0.67
10,3.443524,-0.007476,-2.470652,0.66,2,0.67,0.67,0.67
11,-3.637905,-2.927717,0.246361,0.66,3,0.67,0.67,0.67
12,-1.714500,-2.985502,-2.469184,0.66,3,0.67,0.67,0.67
13,-0.766150,-4.610716,0.275970,0.66,3,0.67,0.67,0.67